chrom	start	end	acc	score	strand	FC	neglogPval	neglogQval	summit	feat_chrom	feat_start	feat_end	feat_acc	feat_score	feat_strand	feat_FC	distance
1	3279042	3279044	HDAC-22-4DAG_S18_peak_1	68	.	3.8367	6.8788399999999985	3.4279300000000004	3279043	1	3276269	3279770	AT1G10050	.	+	CDS	0
1	3279042	3279044	HDAC-22-4DAG_S18_peak_1	68	.	3.8367	6.8788399999999985	3.4279300000000004	3279043	1	3277964	3281465	AT1G10040	.	-	CDS	0
1	6606011	6606013	HDAC-22-4DAG_S18_peak_2	49	.	2.87752	4.90489	1.61358	6606012	1	6603350	6606851	AT1G19115	.	+	CDS	0
1	6606011	6606013	HDAC-22-4DAG_S18_peak_2	49	.	2.87752	4.90489	1.61358	6606012	1	6605287	6608788	AT1G19120	.	+	CDS	0
1	8133424	8133426	HDAC-22-4DAG_S18_peak_3	49	.	2.87752	4.90489	1.61358	8133425	1	8131699	8135200	AT1G22970	.	-	CDS	0
1	10308417	10308419	HDAC-22-4DAG_S18_peak_4	63	.	3.78243	6.3608400000000005	2.92638	10308418	1	10305906	10309407	AT1G29450	.	-	CDS	0
1	10308417	10308419	HDAC-22-4DAG_S18_peak_4	63	.	3.78243	6.3608400000000005	2.92638	10308418	1	10306625	10310126	AT1G29465	.	+	CDS	0
1	10308417	10308419	HDAC-22-4DAG_S18_peak_4	63	.	3.78243	6.3608400000000005	2.92638	10308418	1	10307555	10311056	AT1G29460	.	-	CDS	0
1	15437582	15437584	HDAC-22-4DAG_S18_peak_16	17	.	1.6630900000000002	1.746	0.19636	15437583	1	15434174	15437675	AT1G40390	.	-	CDS	0
1	19480395	19480397	HDAC-22-4DAG_S18_peak_20	46	.	2.85078	4.63855	1.61358	19480396	1	19478211	19481712	AT1G52315	.	+	CDS	0
1	26019811	26019813	HDAC-22-4DAG_S18_peak_23	48	.	2.8707700000000003	4.83266	1.61358	26019812	1	26019558	26023059	AT1G69210	.	-	CDS	0
1	28889790	28889792	HDAC-22-4DAG_S18_peak_24	48	.	2.87282	4.85425	1.61358	28889791	1	28889294	28892795	AT1G76920	.	+	CDS	0
2	3676	3678	HDAC-22-4DAG_S18_peak_25	40	.	3.4071300000000004	4.08418	1.17672	3677	2	3570	7071	AT2G01021	.	+	CDS	0
2	10009	10011	HDAC-22-4DAG_S18_peak_26	35	.	3.17034	3.58299	0.70601	10010	2	9267	12768	AT2G01023	.	-	CDS	0
2	3272044	3272046	HDAC-22-4DAG_S18_peak_31	15	.	1.57778	1.52265	0.0474	3272045	2	3269618	3273119	AT2G07676	.	+	CDS	0
2	3272044	3272046	HDAC-22-4DAG_S18_peak_31	15	.	1.57778	1.52265	0.0474	3272045	2	3270583	3274084	AT2G07768	.	+	CDS	0
2	3314852	3314854	HDAC-22-4DAG_S18_peak_32	12	.	1.46505	1.2802	0.0	3314853	2	3312151	3315652	AT2G07687	.	-	CDS	0
2	3378463	3378465	HDAC-22-4DAG_S18_peak_34	16	.	1.6148	1.61426	0.13885999999999998	3378464	2	3377743	3381244	AT2G07705	.	+	CDS	0
2	3780518	3780520	HDAC-22-4DAG_S18_peak_39	30	.	1.91835	3.05526	0.19636	3780519	2	3778441	3781942	AT2G09990	.	+	CDS	0
2	3780518	3780520	HDAC-22-4DAG_S18_peak_39	30	.	1.91835	3.05526	0.19636	3780519	2	3780172	3783673	AT2G09970	.	-	CDS	0
